gene,essential,comment
PA14_23000,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23010,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23070,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23080,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23090,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23160,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23170,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23210,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23220,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23250,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23270,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23280,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23290,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23310,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23320,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23360,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23370,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23380,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23390,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23410,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23440,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23450,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23460,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23470,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23500,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23560,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23750,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23760,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23790,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23800,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23840,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23850,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23860,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23880,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23920,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23930,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24170,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24190,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24220,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24290,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24640,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24730,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24780,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24830,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_24950,no,"Manoil and Ausubel Overlap, 2005, LB met"
